name,cnpj,start,end,te,tusd,rate,resolution
MUXENERGIA,97578090000134,2026-07-22,2027-07-21,0.27286,0.47172000000000003,0.74458,"RESOLUÇÃO HOMOLOGATÓRIA Nº 2.680, DE 22 DE JULHO DE 2026"
CERRP,46598678000119,2026-05-29,2027-05-28,0.16854,0.574,0.74254,"RESOLUÇÃO HOMOLOGATÓRIA Nº 1.904, DE 26 DE MAIO DE 2026"
CERPRO,44560381000139,2026-05-29,2027-05-28,0.22255,0.51998,0.74253,"RESOLUÇÃO HOMOLOGATÓRIA Nº 1.906, DE 26 DE MAIO DE 2026"
CPFL-PIRATINING,04172213000151,2026-01-01,2026-10-22,0.34405,0.39564,0.73969,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.543, DE 21 DE OUTUBRO DE 2025"
CPFL-PAULISTA,33050196000188,2026-04-08,2027-04-07,0.2902,0.44925,0.73945,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.579, DE 22 DE ABRIL DE 2026"
COOPERSUL,87462750000163,2026-01-01,2026-12-21,0.17862999999999998,0.55908,0.73771,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.562, DE 9 DE DEZEMBRO DE 2025"
COCEL,75805895000130,2026-06-29,2027-06-28,0.29302999999999996,0.44133999999999995,0.73437,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.595, DE 30 DE JUNHO DE 2026"
CEMIRIM,52777034000190,2026-05-29,2027-05-28,0.23776,0.49447,0.73223,"RESOLUÇÃO HOMOLOGATÓRIA Nº 1.901, DE 26 DE MAIO DE 2026"
CERAL-DIS,10532365000110,2026-07-30,2027-07-29,0.17297,0.55767,0.73064,"RESOLUÇÃO HOMOLOGATÓRIA Nº 2.811, DE 30 DE JULHO DE 2026"
CERTHIL,98042963000152,2026-07-30,2027-07-29,0.31708,0.41285000000000005,0.72993,"RESOLUÇÃO HOMOLOGATÓRIA Nº 2.844, DE 30 DE JULHO DE 2026"
HIDROPAN,91982348000187,2026-07-22,2027-07-21,0.27270999999999995,0.45626,0.72897,"RESOLUÇÃO HOMOLOGATÓRIA Nº 2.678, DE 22 DE JULHO DE 2026"
SULGIPE,13255658000196,2026-08-26,2027-05-21,0.18972,0.5290900000000001,0.71881,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.321, DE 24 DE AGOSTO DE 2026"
COPREL,90660754000160,2026-07-30,2027-07-29,0.31651,0.39981,0.71632,"RESOLUÇÃO HOMOLOGATÓRIA Nº 2.825, DE 30 DE JULHO DE 2026"
CERMOFUL,86533346000170,2026-01-01,2026-09-29,0.12319,0.59251,0.7157,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.522, DE 23 DE SETEMBRO DE 2025"
CERGAPA,01229747000189,2026-01-01,2026-09-29,0.20092,0.5140800000000001,0.715,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.521, DE 23 DE SETEMBRO DE 2025"
EPB,09095183000140,2026-08-28,2027-08-27,0.24938,0.46032,0.7097,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.603, DE 28 DE AGOSTO DE 2026"
ENEL CE,07047251000170,2026-08-26,2027-04-21,0.21325999999999998,0.48849000000000004,0.70175,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.324, DE 24 DE AGOSTO DE 2026"
COOPERA,83646653000170,2026-01-01,2026-09-29,0.14462,0.5197,0.66432,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.533, DE 23 DE SETEMBRO DE 2025"
CERSAD DISTRIBUI,11615872000180,2026-01-01,2026-09-29,0.15753999999999999,0.5033,0.66084,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.524, DE 23 DE SETEMBRO DE 2025"
CERILUZ,87656989000174,2026-07-30,2027-07-29,0.23484,0.41437,0.64921,"RESOLUÇÃO HOMOLOGATÓRIA Nº 2.854, DE 30 DE JULHO DE 2026"
COOPERMILA,75568154000183,2026-01-01,2026-09-29,0.24181,0.39423,0.63604,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.535, DE 23 DE SETEMBRO DE 2025"
CERBRANORTE,86433042000131,2026-01-01,2026-09-29,0.22886,0.40254,0.6314,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.538, DE 23 DE SETEMBRO DE 2025"
COOPERLUZ,95824322000161,2026-07-30,2027-07-29,0.32433,0.29769,0.62202,"RESOLUÇÃO HOMOLOGATÓRIA Nº 2.823, DE 30 DE JULHO DE 2026"
DMED,23664303000104,2026-01-01,2026-11-17,0.22113999999999998,0.39643,0.61757,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.548, DE 18 DE NOVEMBRO DE 2025"
CERSUL,86512670000102,2026-01-01,2026-09-29,0.15637,0.42425999999999997,0.58063,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.525, DE 23 DE SETEMBRO DE 2025"
COOPERCOCAL,86532348000145,2026-01-01,2026-09-29,0.16441999999999998,0.40566,0.57008,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.534, DE 23 DE SETEMBRO DE 2025"
CEGERO,86444163000189,2026-01-01,2026-09-29,0.19082,0.3441,0.53492,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.520, DE 23 DE SETEMBRO DE 2025"
CODESAM,11810343000138,2026-01-01,2026-09-29,0.21056999999999998,0.32359,0.53416,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.528, DE 23 DE SETEMBRO DE 2025"
